Processing tier2 - 2026-02-10T23:01:16.902346
[SUCCESS] video-NoRePxSrhpw -> 2026-02-10-the-ticking-time-bomb-in-every-codebase-over-18-months-old-how-to-fix-it-before-its-too-late.md
[SUCCESS] video-DAxARHKQAXs -> 2026-02-10-the-4-ai-agents-non-technical-people-actually-need-and-how-to-use-them-today.md
[SUCCESS] video-uySTyxsmrxM -> 2024-11-12-chatgpt-51-is-the-first-true-ai-worker-heres-what-changed.md
[SUCCESS] video-821UqXHineU -> 2026-02-10-new-chatgpt-52-complete-breakdown-tested-on-excel-powerpoint-massive-data-sets-and-more.md
[SUCCESS] video-M9TJizOxNFk -> 2025-01-26-what-sam-altman-and-dario-amodei-disagree-about-and-why-it-matters-for-you.md
[SUCCESS] video-4Bg0Q1enwS4 -> 2026-02-10-why-ai-native-companies-are-deleting-software-youre-still-paying-for-the-56k-lesson.md
[SUCCESS] video-DcrXHTOxi3I -> 2026-02-10-ilya-vs-google-the-one-number-that-decides-whos-right.md
[SUCCESS] video-xdFqZpBpXTo -> 2026-02-10-the-copy-paste-problem-why-ai-is-killing-software-lock-in.md
[SUCCESS] video-ra7nYJe86GI -> 2026-02-10-disposable-software-the-trend-90-of-people-are-getting-wrong-the-hidden-costs-we-need-to-consider.md
[SUCCESS] video-EaMz3g1OYPA -> 2024-12-17-amazon-fired-their-ai-chief-heres-why-it-took-so-long-plus-5-newsworthy-moments-in-ai-this-week.md
[SUCCESS] video-CJFmhEzmOZg -> 2026-02-10-3-startups-deep-in-30-days-how-nano-banana-pro-just-triggered-a-billion-dollar-chain-reaction.md
[SUCCESS] video-35jrwJugatA -> 2024-11-05-claude-just-rolled-out-to-350000-employees.md
[SUCCESS] video-EbZbGPi8ftA -> 2026-02-10-real-world-testing-opus-45-vs-gemini-3-vs-chatgpt-51.md
[SUCCESS] video-qgQvci8NzM8 -> 2025-07-14-google-openai-chaos-inside-windsurfs-3b-deal-implosion-72-hrs.md
[SUCCESS] video-dzp0OQbElpU -> 2025-04-28-shopifys-ai-memo-changed-hiring-foreverand-why-google-meta-nvidia-are-copying-it.md
[SUCCESS] video-N8ddmMBJrzo -> 2026-02-10-openai-just-launched-200-prompts-for-prosthey-will-destroy-your-career-heres-why.md
[SUCCESS] video-_82WB5N7gd8 -> 2026-02-10-meta-just-cracked-vision-with-sam-3-robotics-moderation-and-video-editing-will-transform.md
[SUCCESS] video-mnWMTzkjWmk -> 2026-02-10-what-i-tell-every-cto-before-they-touch-claude-code-or-the-anthropic-api.md
[SUCCESS] video-5kWuXbiQ2zY -> 2025-01-31-o3-pro-is-outheres-everything-you-need-to-know.md
[SUCCESS] video-POLFZdG54Kw -> 2026-02-10-chatgpt-5-rumors-decodedhow-prompting-is-evolving-in-the-next-age-of-ai.md
[SUCCESS] video-Td_q0sHm6HU -> 2026-02-10-the-ai-trick-that-finally-made-me-better-at-my-job-not-just-faster.md
[SUCCESS] video-rkQhpiLn8EI -> 2026-02-10-i-was-wrong-about-ai-agents-this-200-browser-actually-works.md
[SUCCESS] video-mldfMWbnZTg -> 2026-02-10-context-engineering-vs-prompt-engineering-guiding-llm-agents.md
[SUCCESS] video-ijdhIGRB_Kc -> 2026-02-10-chatgpt-52-vs-claude-opus-45-vs-gemini-3-what-benchmarks-wont-tell-you.md
[SUCCESS] video-AoA9h3TjxE0 -> 2026-02-10-why-every-cold-application-you-send-is-a-waste-of-time-and-what-actually-works.md
[SUCCESS] video-Gqnf5f1ITyo -> 2025-02-07-the-10-biggest-chatgpt-5-problems-how-to-fix-them.md
[SUCCESS] video-2gt2Ugy1b6Q -> 2026-02-10-is-openai-a-bubble-heres-the-2026-test-unit-economics-compute-enterprise-proof.md
[SUCCESS] video-gRhOo6uT-fM -> 2026-02-10-i-summarized-the-313-slide-state-of-ai-report-so-you-dont-have-to-read-itheres-the-tldr.md
[SUCCESS] video-GTEz5WWbfiw -> 2026-02-10-the-mental-models-of-master-prompters-10-techniques-for-advanced-prompting.md
[SUCCESS] video-2uC5WllehxY -> 2026-02-10-steal-my-2-prompt-blueprint-turn-chatgpt-into-your-personal-ai-tutor-live-demo.md
[SUCCESS] video-2EXyj_fHU48 -> 2026-02-10-google-just-proved-more-agents-can-make-things-worse-heres-what-actually-does-work.md
[SUCCESS] video-cPdVbVx5Z3Q -> 2026-02-10-mcp-a2a-and-the-beginning-of-the-end-of-explicit-programming.md
[SUCCESS] video-xCrd3ajdlzw -> 2026-02-10-excel-ai-will-replace-finance-teams-by-2026heres-why-and-what-to-do.md
[SUCCESS] video-74FvsJeljak -> 2026-02-10-7-prompting-strategies-from-claude-4s-system-prompt-leak.md
[SUCCESS] video-pEsoqm0o3Dk -> 2026-02-10-trump-just-gutted-state-ai-laws-openai-panicked-ai-agents-stole-46m-your-10-minute-breakdown.md
[SUCCESS] video-DWb4SqILvvM -> 2026-02-10-claude-45-built-slack-in-30-hours-straightheres-my-take-after-testing.md
[SUCCESS] video-XBG5tqrz3Rc -> 2026-02-10-codex-vs-claude-code-the-winner-isnt-even-close-strategic-thinking-test.md
[SUCCESS] video--hK4Qt8B9Fg -> 2025-09-24-i-tested-chatgpts-new-overnight-modeit-changed-how-i-work.md
[SUCCESS] video-Nt7vzMiE0mY -> 2026-02-10-stop-treating-image-generation-like-a-design-tool-the-hidden-bottleneck-limiting-your-ai-roi.md
[SUCCESS] video-gXbTh70m_q0 -> 2026-02-10-ai-didnt-kill-engineering-it-raised-the-bar.md
[SUCCESS] video-CEgyitKYhb4 -> 2024-07-14-grok-4-is-1-but-real-world-users-ranked-it-66heres-the-gap.md
[SUCCESS] video-uB-4OJD_73E -> 2026-02-10-ai-is-going-to-break-saas-pricing-modelsand-thats-breaking-vc.md
